scene_code,product_code,product_type,x,y,confidence,status
FABE01,MC-LT-009,table lamp,48.1,68.6,0.66,auto
FABE01,MC-DF-020,scented candle,91.8,52.3,1.00,manual
FABE02,MC-BD-011,bed,74.6,66.8,1.00,manual
FABE02,MC-LT-019,side table,39.4,55.7,1.00,manual
FABE02,MC-LT-017,lamp,64.3,33.7,1.00,manual
FABE02,MC-DF-015,candle jar,61.0,45.7,1.00,manual
FABE03,MC-BD-026,bed,51.4,50.8,0.84,auto
FABE03,MC-LT-035,side table,87.2,59.6,1.00,manual
FABE03,MC-LT-003,lamp,94.2,42.9,0.78,auto
FABE03,MC-DF-011,candle jar,89.1,49.9,1.00,manual
FABE04,MC-BD-022,bed,48.8,58.6,1.00,manual
FABE04,MC-LT-037,side table,20.9,35.8,0.86,auto
FABE04,MC-LT-012,lamp,93.0,60.3,0.4,review
FABE04,MC-DF-007,scented candle,92.3,67.4,0.41,review
WIBE01,MC-BD-003,bed,51.1,60.0,1.00,manual
WIBE01,MC-LT-011,side table,83.7,64.0,0.96,auto
WIBE01,MC-LT-004,lamp,37.4,29.5,0.85,auto
WIBE01,MC-DF-017,candle jar,84.1,52.8,1.00,manual
WIBE02,MC-BD-006,bed,50.4,60.9,1.00,manual
WIBE02,MC-LT-014,side table,91.3,68.3,0.92,auto
WIBE02,MC-LT-015,lamp,97.2,41.1,1.00,manual
WIBE02,MC-DF-001,,87.5,49.9,1.00,manual
WIBE03,MC-BD-009,bed,52.4,53.0,1.00,manual
WIBE03,MC-LT-024,side table,92.0,60.0,1.00,manual
WIBE03,MC-LT-010,lamp,93.6,30.5,1.00,manual
WIBE03,MC-DF-007,scented candle,89.0,50.1,0.71,auto
WIBE04,MC-BD-001,bed,52.4,54.8,1.00,manual
WIBE04,MC-LT-022,side table,85.0,67.1,1.00,manual
WIBE04,MC-LT-020,lamp,94.5,35.3,1.00,manual
WIBE04,MC-DF-013,scented candle,89.8,52.5,0.75,auto
SPDI01,MC-DT-003,table,45.1,63.7,1.00,manual
SPDI01,MC-LT-066,side table,82.6,70.0,0.81,auto
SPDI01,MC-LT-017,lamp,90.1,45.7,0.89,auto
SPDI01,MC-DF-006,candle jar,40.0,50.3,1.00,manual
SPDI02,MC-DT-004,table,63.0,54.6,1.00,manual
SPDI02,MC-LT-013,small table,29.4,52.7,0.77,auto
SPDI02,MC-LT-007,lamp,30.1,9.9,0.5,auto
SPDI02,MC-DF-002,,30.1,38.5,1.00,manual
SPDI03,MC-DT-033,dining table,51.6,44.5,1.00,manual
SPDI03,MC-LT-038,coffee table,88.7,66.7,0.88,auto
SPDI03,MC-LT-026,lamp,92.7,50.3,0.46,review
SPDI03,MC-DF-009,candle jar,84.0,50.3,1.00,manual
SPDI04,MC-DT-005,dining table,41.7,49.2,1.00,manual
SPDI04,MC-LT-061,coffee table,85.2,67.9,1.00,manual
SPDI04,MC-LT-021,lamp,89.0,52.2,0.87,auto
SPDI04,MC-DF-004,,95.2,64.3,1.00,manual
SUDI01,MC-DT-002,table,44.7,55.7,1.00,manual
SUDI01,MC-LT-009,side table,91.3,70.8,1.00,manual
SUDI01,MC-LT-024,lamp,89.0,51.5,0.88,auto
SUDI01,MC-DF-012,candle jar,83.0,56.7,1.00,manual
SUDI02,MC-DT-006,dining table,49.3,58.2,1.00,manual
SUDI02,MC-LT-008,side table,18.6,57.8,1.00,manual
SUDI02,MC-LT-006,floor lamp,2.2,15.2,1.00,manual
SUDI02,MC-DF-023,candle jar,50.8,45.9,1.00,manual
SUDI03,MC-DT-010,dining table,34.8,43.8,1.00,manual
SUDI03,MC-LT-005,side table,74.2,55.9,1.00,manual
SUDI03,MC-LT-014,,92.4,30.7,1.00,manual
SUDI03,MC-DF-001,,87.0,64.4,1.00,manual
SUDI04,MC-DT-015,table,39.5,57.5,1.00,manual
SUDI04,MC-LT-015,side table,83.2,54.6,1.00,manual
SUDI04,MC-LT-041,lamp,96.4,31.8,1.00,manual
SUDI04,MC-DF-017,,82.0,47.6,1.00,manual
FADI01,MC-DT-013,dining table,45.0,59.8,1.00,manual
FADI01,MC-LT-002,side table,89.9,58.8,1.00,manual
FADI01,MC-LT-009,lamp,83.3,37.3,0.86,auto
FADI01,MC-DF-011,candle jar,88.4,43.3,0.38,review
FADI02,MC-DT-016,dining table,44.1,65.9,0.65,auto
FADI02,MC-LT-019,side table,83.1,65.8,0.56,auto
FADI02,MC-LT-017,lamp,78.6,37.5,0.91,auto
FADI02,MC-DF-015,scented candle,42.6,38.5,1.00,manual
FADI03,MC-DT-025,dining table,29.9,59.6,1.00,manual
FADI03,MC-LT-035,side table,86.5,74.6,0.83,auto
FADI03,MC-LT-012,lamp,84.5,47.4,0.48,review
FADI03,MC-DF-020,scented candle,84.4,61.7,0.43,review
FADI04,MC-DT-032,table,25.9,56.1,1.00,manual
FADI04,MC-LT-037,coffee table,84.7,63.5,1.00,manual
FADI04,MC-LT-003,lamp,76.4,45.9,1.00,manual
FADI04,MC-DF-011,candle jar,87.6,52.6,1.00,manual
WIDI01,MC-DT-009,table,43.4,57.3,1.00,manual
WIDI01,MC-LT-011,side table,71.8,63.9,0.92,auto
WIDI01,MC-LT-004,lamp,72.7,29.5,0.74,auto
WIDI01,MC-DF-017,candle jar,71.6,51.3,1.00,manual
WIDI02,MC-DT-014,table,59.4,53.8,1.00,manual
WIDI02,MC-LT-014,side table,85.9,53.0,0.85,auto
WIDI02,MC-LT-015,lamp,92.5,25.8,1.00,manual
WIDI02,MC-DF-001,,85.0,38.0,1.00,manual
WIDI03,MC-DT-023,dining table,46.4,51.1,1.00,manual
WIDI03,MC-LT-024,side table,78.9,71.3,1.00,manual
WIDI03,MC-LT-010,lamp,89.9,44.8,0.94,auto
WIDI03,MC-DF-007,candle,53.5,40.5,1.00,manual
WIDI04,MC-DT-027,dining table,57.6,53.6,1.00,manual
WIDI04,MC-LT-022,side table,6.9,59.0,1.00,manual
WIDI04,MC-LT-020,lamp,15.9,28.5,1.00,manual
WIDI04,MC-DF-013,candle jar,7.6,38.3,0.61,auto
SPBA01,MC-BC-033,flower pot,36.4,70.3,1.00,manual
SPBA01,MC-LT-066,side table,67.9,59.0,1.00,manual
SPBA01,MC-LT-017,lamp,68.4,13.2,1.00,manual
SPBA01,MC-DF-006,scented candle,62.6,35.8,0.7,auto
